gen,ind,lap,time_s,A,B,C
baseline,snakeoil,1,264.594,25.0,0.25,50.0
baseline,snakeoil,1,264.594,25.0,0.25,50.0
baseline,snakeoil,2,261.422,25.0,0.25,50.0
baseline_jm2,jm2,1,205.168,10.0,0.15,250
5,2,1,151.924,26.1036,0.1904,95.4334
5,2,2,146.238,26.1036,0.1904,95.4334
5,2,3,146.224,26.1036,0.1904,95.4334
5,2,4,146.282,26.1036,0.1904,95.4334
5,2,5,146.324,26.1036,0.1904,95.4334
5,3,1,149.554,26.5869,1.0977,147.0914
5,3,2,143.598,26.5869,1.0977,147.0914
5,3,3,143.636,26.5869,1.0977,147.0914
5,3,4,143.632,26.5869,1.0977,147.0914
5,3,5,143.648,26.5869,1.0977,147.0914
5,4,1,151.842,25.5614,0.9393,95.8214
5,4,2,146.030,25.5614,0.9393,95.8214
5,4,3,146.018,25.5614,0.9393,95.8214
5,4,4,146.050,25.5614,0.9393,95.8214
5,4,5,146.014,25.5614,0.9393,95.8214
5,5,1,161.558,24.8871,1.3288,85.8308
5,5,2,156.462,24.8871,1.3288,85.8308
5,5,3,156.470,24.8871,1.3288,85.8308
5,6,1,154.938,26.6343,0.7690,90.9857
5,6,2,149.558,26.6343,0.7690,90.9857
5,6,3,149.508,26.6343,0.7690,90.9857
5,6,4,149.564,26.6343,0.7690,90.9857
5,6,5,149.526,26.6343,0.7690,90.9857
5,7,1,149.764,26.2197,0.7151,122.5253
5,7,2,143.814,26.2197,0.7151,122.5253
5,7,3,143.894,26.2197,0.7151,122.5253
5,7,4,143.910,26.2197,0.7151,122.5253
6,1,1,149.546,26.4091,1.3622,141.5204
6,1,2,143.624,26.4091,1.3622,141.5204
6,1,3,143.574,26.4091,1.3622,141.5204
6,1,4,143.462,26.4091,1.3622,141.5204
6,1,5,143.444,26.4091,1.3622,141.5204
6,2,1,149.722,26.6932,0.4748,141.2910
6,2,2,143.774,26.6932,0.4748,141.2910
6,2,3,143.828,26.6932,0.4748,141.2910
6,2,4,143.846,26.6932,0.4748,141.2910
6,2,5,166.018,26.6932,0.4748,141.2910
6,3,1,149.386,26.4020,1.4888,177.5540
6,3,2,143.464,26.4020,1.4888,177.5540
6,3,3,143.258,26.4020,1.4888,177.5540
6,3,4,143.268,26.4020,1.4888,177.5540
6,4,1,149.168,26.6244,2.0311,193.0466
6,4,2,143.330,26.6244,2.0311,193.0466
6,4,3,143.232,26.6244,2.0311,193.0466
6,4,4,143.272,26.6244,2.0311,193.0466
6,4,5,143.290,26.6244,2.0311,193.0466
6,5,1,149.212,27.5683,1.6924,210.3003
6,5,2,143.216,27.5683,1.6924,210.3003
6,5,3,143.226,27.5683,1.6924,210.3003
6,5,4,143.230,27.5683,1.6924,210.3003
6,5,5,143.234,27.5683,1.6924,210.3003
6,6,1,203.118,24.5734,0.5598,66.3254
6,6,2,199.346,24.5734,0.5598,66.3254
6,6,3,206.570,24.5734,0.5598,66.3254
6,6,4,223.502,24.5734,0.5598,66.3254
6,7,1,149.852,26.0245,0.5653,148.9743
6,7,2,144.122,26.0245,0.5653,148.9743
6,7,3,143.804,26.0245,0.5653,148.9743
6,7,4,143.776,26.0245,0.5653,148.9743
7,1,1,149.776,27.4312,0.6856,158.2758
7,1,2,143.680,27.4312,0.6856,158.2758
7,1,3,143.682,27.4312,0.6856,158.2758
7,1,4,143.704,27.4312,0.6856,158.2758
7,1,5,143.698,27.4312,0.6856,158.2758
7,2,1,149.594,29.3813,2.9714,403.0552
7,2,2,143.374,29.3813,2.9714,403.0552
7,2,3,143.346,29.3813,2.9714,403.0552
7,2,4,143.560,29.3813,2.9714,403.0552
7,2,5,143.440,29.3813,2.9714,403.0552
7,3,1,205.228,26.0383,1.2174,65.5786
7,3,2,205.954,26.0383,1.2174,65.5786
7,3,3,328.248,26.0383,1.2174,65.5786
7,4,1,149.232,27.7140,2.2227,334.4067
7,4,2,143.274,27.7140,2.2227,334.4067
7,4,3,143.246,27.7140,2.2227,334.4067
7,4,4,143.352,27.7140,2.2227,334.4067
7,4,5,143.336,27.7140,2.2227,334.4067
7,6,1,149.438,30.0308,2.6190,290.4481
7,6,2,143.414,30.0308,2.6190,290.4481
7,6,3,143.410,30.0308,2.6190,290.4481
7,6,4,144.030,30.0308,2.6190,290.4481
7,6,5,144.128,30.0308,2.6190,290.4481
7,7,1,149.196,27.5267,2.0125,271.9007
7,7,2,143.256,27.5267,2.0125,271.9007
7,7,3,143.324,27.5267,2.0125,271.9007
7,7,4,143.174,27.5267,2.0125,271.9007
7,7,5,143.178,27.5267,2.0125,271.9007
8,1,1,149.508,27.9470,3.0307,368.0894
8,2,1,149.790,26.7444,0.1737,204.7302
8,2,2,143.976,26.7444,0.1737,204.7302
8,2,3,144.432,26.7444,0.1737,204.7302
8,2,4,144.030,26.7444,0.1737,204.7302
8,3,1,149.260,31.1303,1.9247,385.3757
8,3,2,143.316,31.1303,1.9247,385.3757
8,3,3,143.610,31.1303,1.9247,385.3757
8,3,4,144.192,31.1303,1.9247,385.3757
8,3,5,144.286,31.1303,1.9247,385.3757
8,4,1,149.816,26.3783,0.5955,311.8258
8,4,2,143.880,26.3783,0.5955,311.8258
8,4,3,143.876,26.3783,0.5955,311.8258
8,4,4,143.754,26.3783,0.5955,311.8258
8,4,5,143.748,26.3783,0.5955,311.8258
8,5,1,149.690,28.2289,1.0033,223.0251
8,5,2,143.750,28.2289,1.0033,223.0251
8,5,3,143.564,28.2289,1.0033,223.0251
8,5,4,143.652,28.2289,1.0033,223.0251
8,6,1,149.610,27.2149,3.0489,169.4733
8,6,2,143.578,27.2149,3.0489,169.4733
8,6,3,143.512,27.2149,3.0489,169.4733
8,6,4,143.660,27.2149,3.0489,169.4733
8,6,5,143.592,27.2149,3.0489,169.4733
8,7,1,149.742,25.2973,3.4574,381.2291
8,7,2,143.838,25.2973,3.4574,381.2291
8,7,3,143.734,25.2973,3.4574,381.2291
8,7,4,143.722,25.2973,3.4574,381.2291
9,1,1,149.758,26.1361,0.8008,191.6843
9,1,2,143.796,26.1361,0.8008,191.6843
9,1,3,143.776,26.1361,0.8008,191.6843
9,1,4,144.188,26.1361,0.8008,191.6843
9,1,5,143.866,26.1361,0.8008,191.6843
9,2,1,149.584,27.3631,2.7570,239.2827
9,2,2,143.578,27.3631,2.7570,239.2827
9,2,3,143.492,27.3631,2.7570,239.2827
9,2,4,149.066,27.3631,2.7570,239.2827
9,2,5,195.528,27.3631,2.7570,239.2827
9,3,1,149.772,24.3101,0.7309,125.1785
9,3,2,143.796,24.3101,0.7309,125.1785
